
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new"

="c.f_share_HH_1994_std#c.reservedYN_adj_preferred_pct",="0.400+++",="",="",="",="0.391+++",="",="",=""
="",="(0.135)",="",="",="",="(0.134)",="",="",=""

="c.f_share_HH_1994_raw#c.reservedYN_adj_preferred_pct",="",="3.094++",="",="",="",="3.034++",="",=""
="",="",="(1.255)",="",="",="",="(1.222)",="",=""

="c.f_share_HH_1994_raw_std#c.reservedYN_adj_preferred_pct",="",="",="0.416++",="",="",="",="0.408++",=""
="",="",="",="(0.169)",="",="",="",="(0.165)",=""

="c.plantshare_mid3rd_HH#c.reservedYN_adj_preferred_pct",="",="",="",="0.507+",="",="",="",="0.488"
="",="",="",="",="(0.296)",="",="",="",="(0.297)"

="c.plantshare_top3rd_HH#c.reservedYN_adj_preferred_pct",="",="",="",="0.839++",="",="",="",="0.814++"
="",="",="",="",="(0.347)",="",="",="",="(0.347)"

="ln_m_plants_new",="",="",="",="",="0.096+++",="0.096+++",="0.096+++",="0.096+++"
="",="",="",="",="",="(0.031)",="(0.031)",="(0.031)",="(0.031)"

="N",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607"
="adj. R-sq",="0.738",="0.738",="0.738",="0.737",="0.740",="0.741",="0.741",="0.740"

="Standard errors in parentheses"
="+ p<.1, ++ p<.05, +++ p<.01"
