
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="ln_f_plants_new",="ln_f_emp_new",="ln_f_plants",="ln_f_workers",="ln_f_workers_m_plt",="ln_f_workers_f_plt",="ln_f_workers_ORG",="ln_f_plants_new",="ln_f_emp_new",="ln_f_plants",="ln_f_workers",="ln_f_workers_m_plt",="ln_f_workers_f_plt",="ln_f_workers_ORG"

="reservedYN_adj_preferred_pct",="0.393+",="0.425+",="0.214",="0.014",="0.074",="0.136",="0.040",="0.335+",="0.362",="0.232",="0.088",="0.122",="0.000",="-0.004"
="",="(0.214)",="(0.246)",="(0.289)",="(0.311)",="(0.266)",="(0.298)",="(0.154)",="(0.194)",="(0.220)",="(0.261)",="(0.205)",="(0.182)",="(0.200)",="(0.110)"

="DV_m_analogue",="",="",="",="",="",="",="",="0.118+++",="0.111+++",="0.216+++",="0.441+++",="0.389+++",="0.515+++",="0.366+++"
="",="",="",="",="",="",="",="",="(0.024)",="(0.024)",="(0.029)",="(0.048)",="(0.054)",="(0.043)",="(0.048)"

="N",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607",="3607"
="adj. R-sq",="0.733",="0.701",="0.818",="0.825",="0.817",="0.808",="0.838",="0.737",="0.706",="0.824",="0.853",="0.840",="0.865",="0.855"

="Standard errors in parentheses"
="+ p<.1, ++ p<.05, +++ p<.01"
