
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new",="ln_f_plants_new"

="c.f_share_pl_1994_std#c.reservedYN_adj_preferred_pct",="0.333++",="",="",="",="",="",="",="0.336+++",="",="",="",="",="",=""
="",="(0.129)",="",="",="",="",="",="",="(0.128)",="",="",="",="",="",=""

="c.share_HH_1994_std#c.reservedYN_adj_preferred_pct",="",="0.225+",="",="",="",="",="",="",="0.213+",="",="",="",="",=""
="",="",="(0.120)",="",="",="",="",="",="",="(0.119)",="",="",="",="",=""

="c.f_share_HH_1994_std#c.reservedYN_adj_preferred_pct",="",="",="0.400+++",="",="",="",="",="",="",="0.391+++",="",="",="",=""
="",="",="",="(0.135)",="",="",="",="",="",="",="(0.134)",="",="",="",=""

="c.f_avg_size_1994_std#c.reservedYN_adj_preferred_pct",="",="",="",="-0.292++",="",="",="",="",="",="",="-0.264++",="",="",=""
="",="",="",="",="(0.134)",="",="",="",="",="",="",="(0.133)",="",="",=""

="c.f_GVA_1994_std#c.reservedYN_adj_preferred_pct",="",="",="",="",="-0.196",="",="",="",="",="",="",="-0.188",="",=""
="",="",="",="",="",="(0.146)",="",="",="",="",="",="",="(0.145)",="",=""

="c.f_cap_intens_1994_std#c.reservedYN_adj_preferred_pct",="",="",="",="",="",="-0.284+",="",="",="",="",="",="",="-0.282+",=""
="",="",="",="",="",="",="(0.151)",="",="",="",="",="",="",="(0.150)",=""

="c.f_fin_intens_1994_std#c.reservedYN_adj_preferred_pct",="",="",="",="",="",="",="0.110",="",="",="",="",="",="",="0.109"
="",="",="",="",="",="",="",="(0.092)",="",="",="",="",="",="",="(0.091)"

="DV_m_analogue",="",="",="",="",="",="",="",="0.098+++",="0.096+++",="0.096+++",="0.105+++",="0.107+++",="0.107+++",="0.097+++"
="",="",="",="",="",="",="",="",="(0.031)",="(0.031)",="(0.031)",="(0.036)",="(0.036)",="(0.036)",="(0.031)"

="N",="3607",="3607",="3607",="3061",="3061",="3061",="3607",="3607",="3607",="3607",="3061",="3061",="3061",="3607"
="adj. R-sq",="0.737",="0.736",="0.738",="0.735",="0.735",="0.735",="0.736",="0.740",="0.739",="0.740",="0.738",="0.738",="0.738",="0.739"

="Standard errors in parentheses"
="+ p<.1, ++ p<.05, +++ p<.01"
