
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="",="ratio_f_plants_new_2005",="ratio_f_emp_new_2005",="ratio_f_plants_2005",="ratio_f_workers_2005",="ratio_f_workers_m_plt_2005",="ratio_f_workers_f_plt_2005",="ratio_f_plants_new_2005",="ratio_f_emp_new_2005",="ratio_f_plants_2005",="ratio_f_workers_2005",="ratio_f_workers_m_plt_2005",="ratio_f_workers_f_plt_2005"

="ctrl1994",="0.067",="0.072",="0.164++",="0.514+++",="0.520+++",="0.164++",="0.042",="0.038",="0.053",="0.198+++",="0.102",="0.083"
="",="(0.068)",="(0.074)",="(0.076)",="(0.063)",="(0.080)",="(0.070)",="(0.068)",="(0.074)",="(0.062)",="(0.068)",="(0.072)",="(0.055)"

="resvs_gap_2005",="0.553+++",="0.732+++",="0.229++",="0.211+++",="0.033",="0.346+++",="0.457+++",="0.664+++",="0.181+",="0.002",="-0.288+++",="0.184+"
="",="(0.140)",="(0.157)",="(0.105)",="(0.062)",="(0.043)",="(0.101)",="(0.131)",="(0.147)",="(0.097)",="(0.067)",="(0.072)",="(0.100)"

="mctrl2005",="",="",="",="",="",="",="0.502+++",="0.505+++",="0.959+++",="0.807+++",="0.993+++",="0.288+++"
="",="",="",="",="",="",="",="(0.086)",="(0.073)",="(0.139)",="(0.100)",="(0.156)",="(0.058)"

="Target state FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="Neighbor state FE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"

="N",="352",="352",="352",="352",="352",="352",="352",="352",="352",="352",="352",="352"
="adj. R-sq",="0.271",="0.296",="0.399",="0.574",="0.482",="0.385",="0.387",="0.425",="0.508",="0.715",="0.677",="0.505"

="Standard errors in parentheses"
="+ p<.1, ++ p<.05, +++ p<.01"
