survey,year,location,organization2,plants,totalpersonsengaged,totaloutput,Femployees,Memployees
"ASI",1994,"Non-Household","All others",93191.99992918968,6775198.999765635,384375271270.7985,651812.9998263121,3702430.999899387
"ASI",2000,"Non-Household","All others",99124.56970477104,6723366.179638505,501638079542.9761,653516.1746170521,3414024.739260316
"ASI",2005,"Non-Household","All others",104605.5169066191,7470311.577016354,705214903058.7732,727627.7501983643,3360529.664407253
"NSS",1994,"Household","All others",72005.68013724685,304344.8108638525,2551768722.381714,61867.2452018261,226330.4660752416
"NSS",1994,"Non-Household","All others",197170.4800262451,1447784.412119389,18095041286.42899,190593.7904954553,1173183.931247443
"NSS",1994,"Unknown","All others",1087.890021562576,5113.385000944138,41436446.81774902,299.6700050830841,3848.64004278183
"NSS",1994,"Household","F_Individual Proprietorship",1932514.711228997,2900143.34175922,2081601519.049985,2579969.451422289,302350.804939419
"NSS",1994,"Non-Household","F_Individual Proprietorship",117370.0801368058,301993.7654405981,1080667231.678185,146204.630147621,149390.1603334546
"NSS",1994,"Unknown","F_Individual Proprietorship",907.2800050973892,2353.005020856857,1998811.024215698,2249.885025620461,96.84999632835388
"NSS",1994,"Household","M_Individual Proprietorship",6851377.003820211,14996305.99508061,22865480475.52425,5193840.965656459,9726109.607392304
"NSS",1994,"Non-Household","M_Individual Proprietorship",2896672.414333865,7983844.997875258,28656259260.93226,1007524.575848714,6829394.922831237
"NSS",1994,"Unknown","M_Individual Proprietorship",29950.22006097436,57715.67499020696,117638014.9823914,8095.330057382584,47585.66010859609
"NSS",2000,"Household","All others",70125.78017270565,270492.3079581261,2012417922.203526,73881.29228326678,196611.0156981647
"NSS",2000,"Non-Household","All others",195560.7648377419,1578240.839038372,23320195939.31659,260591.4085704386,1317649.432124138
"NSS",2000,"Unknown","All others",48.61999928951263,236.4824934005737,3225326.166503906,58.80249893665314,177.6799962520599
"NSS",2000,"Household","F_Individual Proprietorship",4146140.728587747,4933863.269869715,3944705417.589586,4537525.446026176,396337.8227092326
"NSS",2000,"Non-Household","F_Individual Proprietorship",271934.3100113273,619150.1156686544,3194371014.522616,326588.4029917419,292561.7129977942
"NSS",2000,"Unknown","F_Individual Proprietorship",878.9399900436401,881.3149900436401,2782099.9140625,172.1900024414063,709.1249876022339
"NSS",2000,"Household","M_Individual Proprietorship",7593806.260369599,14729018.19828522,32777411494.84381,4209581.249534667,10519436.94371709
"NSS",2000,"Non-Household","M_Individual Proprietorship",4608847.029278815,11846490.54201016,83671562762.57628,1240820.032069802,10605670.50792754
"NSS",2000,"Unknown","M_Individual Proprietorship",203.4850015640259,483.3299930095673,785807.8020019531,2.22000002861023,481.1099927425385
"NSS",2005,"Household","All others",180660.474827826,504987.1511285305,2362494350.852112,213985.871884346,291001.2804931998
"NSS",2005,"Non-Household","All others",195661.3946489394,1539946.287475765,33186617011.01857,197653.2972849309,1342292.991609037
"NSS",2005,"Unknown","All others",109.3599997758865,977.6825017929077,25828217.84765625,296,681.6825017929077
"NSS",2005,"Household","F_Individual Proprietorship",5818350.906755388,6800204.319850177,4623504644.622305,6474574.362627596,325629.9582611024
"NSS",2005,"Non-Household","F_Individual Proprietorship",353462.4449532032,751452.8553319573,5729998083.511589,441729.0105039775,309723.8447571993
"NSS",2005,"Unknown","F_Individual Proprietorship",4136.220012545586,3538.08749961853,8404452.482421875,2700.517516076565,837.5699844360352
"NSS",2005,"Household","M_Individual Proprietorship",6259174.04537791,11822905.81179312,26145137832.72507,3117028.140982837,8705877.680066556
"NSS",2005,"Non-Household","M_Individual Proprietorship",4027567.236192733,11428000.59102756,92862674704.27274,1144384.020533383,10283616.56481302
"NSS",2005,"Unknown","M_Individual Proprietorship",5085.435030639172,13751.64756512642,64491699.06872559,1527.230033874512,12224.41752362251
